Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],746195,2012,18105,Petrol,Automatic,Bangalore,Black,Third,Dealer,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Mahindra,Thar LX 4-STR Convertible Diesel MT,1850038,2019,17000,Diesel,Manual,Karnal,White,Second,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0
Toyota,Etios VXD,482383,2020,82000,Diesel,Automatic,Ludhiana,Blue,Third,Corporate,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,4265.0,1695.0,1510.0,5.0,45.0
Toyota,Innova 2.5 VX 7 STR BS-III,1310546,2015,85000,Diesel,Manual,Bangalore,Red,Second,Corporate,2494 cc,100 bhp @ 3600 rpm,200 Nm @ 1400 rpm,RWD,4585.0,1760.0,1760.0,7.0,55.0
Hyundai,Verna Fluidic 1.6 CRDi SX,392282,2004,62000,Diesel,Manual,Delhi,White,Third,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],486020,2010,76000,CNG,Automatic,Kanpur,Brown,Third,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3655.0,1620.0,1675.0,5.0,60.0
Mahindra,Quanto C4,232157,2022,60000,Diesel,Automatic,Kolkata,Blue,Second,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
Volkswagen,Taigun Highline 1.0 TSI AT,1608324,2013,31000,Petrol,Manual,Hyderabad,Blue,First,Corporate,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4221.0,1760.0,1612.0,5.0,50.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],1094477,2001,86000,Diesel,Manual,Ludhiana,Grey,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
Maruti Suzuki,Wagon R VXi,257697,2022,68000,Petrol,Automatic,Kanpur,Brown,First,Corporate,998 cc,68@6200,90@3500,,3539.0,1495.0,1700.0,5.0,35.0
